Date,Barcelona_Fabra Daily Rainfall [mm],Barcelona Daily Rainfall [mm],Sabadell_Aero Daily Rainfall [mm],Garriga Discharge [m^3],Castellar Discharge [m^3],Llica Discharge [m^3],Montornes Discharge [m^3],Mogoda Discharge [m^3],Gramenet Discharge [m^3]
12/10/2003,0,0,0,0.944,0.0707,0.258,1.2296,0.207,8.0509
12/11/2003,0,0,0,0.754,0.0622,0.229,1.2036,0.197,7.5404
12/12/2003,0,0,0,0.68,0.056,0.226,1.1866,0.18,7.4432
12/13/2003,0,0,0,0.616,0.0473,0.214,1.0726,0.155,6.8035
12/14/2003,0,0,0,0.534,0.0459,0.211,0.9707,0.139,6.3099
12/15/2003,0,0,0,0.482,0.0409,0.206,1.068,0.13,6.6604
12/16/2003,0,0,0,0.446,0.0371,0.2,0.9428,0.138,6.5777
12/17/2003,0,0,0,0.415,0.0398,0.198,0.7997,0.119,6.3345
12/18/2003,0.5,0.2,0.8,0.398,0.035,0.194,0.7832,0.108,6.3092
12/19/2003,,0.1,0,0.354,0.0356,0.191,0.8049,0.099,6.2291
12/20/2003,0,0,0.1,0.336,0.0324,0.186,0.698,0.089,5.9737
12/21/2003,0,4.5,0,0.329,0.0342,0.183,0.6951,0.083,5.686
12/22/2003,0,0,0,0.308,0.0273,0.179,0.6841,0.076,5.8976
12/23/2003,0,0,0,0.333,0.0283,0.172,0.6753,0.09,5.8055
12/24/2003,0,0,0,0.335,0.0304,0.168,0.6861,0.093,5.7382
12/25/2003,0,0,0,0.33,0.0254,0.166,0.666,0.073,5.4752
12/26/2003,0,0,0,0.293,0.0243,0.166,0.681,0.06,5.369
12/27/2003,0,0,0,0.315,0.028,0.163,0.5321,0.059,5.1824
12/28/2003,0.7,0.5,0,0.322,0.0306,0.161,0.5459,0.061,5.1819
12/29/2003,0,0,0,0.31,0.0276,0.156,0.573,0.056,5.172
12/30/2003,0,0,0,0.303,0.0268,0.145,0.5552,0.053,5.0836
12/31/2003,0,0,0,0.275,0.0269,0.142,0.5291,0.05,4.8642
1/1/2004,0,2.8,0,0.253,0.0315,0.147,0.516,0.058,3.9355
1/2/2004,0,0,0,0.237,0.0269,0.144,0.5246,0.05,3.9267
1/3/2004,0,0,0,0.258,0.0271,0.137,0.4995,0.058,3.9142
1/4/2004,0,0,0,0.256,0.0291,0.135,0.4947,0.055,3.7862
1/5/2004,0,0,0,0.25,0.0286,0.135,0.5531,0.046,3.8314
1/6/2004,0,0,0,0.202,0.0275,0.135,0.6932,0.044,3.7419
1/7/2004,0,3.6,0,0.196,0.0332,0.132,0.7348,0.042,3.9006
1/8/2004,0,0,0,0.209,0.0316,0.13,0.7345,0.042,4.1312
1/9/2004,0,0,0,0.202,0.031,0.124,0.8543,0.04,4.2674
1/10/2004,0,0,0,0.203,0.0287,0.124,0.5092,0.038,3.9739
1/11/2004,0,0,0,0.195,0.034,0.125,0.459,0.041,3.6265
1/12/2004,0,0,0,0.188,0.0389,0.126,0.4748,0.04,3.8098
1/13/2004,0,0,0,0.183,0.0412,0.121,0.5229,0.032,3.9778
1/14/2004,0,0,0,0.183,0.0424,0.118,0.501,0.029,3.9661
1/15/2004,0,0,0,0.179,0.0452,0.121,0.4751,0.031,3.8636
1/16/2004,0,0,0,0.18,0.047,0.132,0.522,0.031,3.9376
1/17/2004,0,0,0,0.179,0.0476,0.133,0.4705,0.031,3.7155
1/18/2004,0,0,0,0.175,0.0549,0.133,0.4394,0.031,3.4671
1/19/2004,0,0,0,0.17,0.0492,0.132,0.4583,0.03,3.6291
1/20/2004,0,0,0,0.168,0.0539,0.132,0.5028,0.03,3.7717
1/21/2004,0,0,0,0.165,0.0556,0.13,0.5075,0.03,3.8309
1/22/2004,0,0,0,0.166,0.0552,0.13,0.4645,0.031,3.7522
1/23/2004,0.3,0.2,0,0.162,0.059,0.13,0.4664,0.03,3.7704
1/24/2004,0.7,0.6,0.3,0.164,0.0641,0.133,0.4648,0.028,3.6589
1/25/2004,,0,0,0.159,0.0629,0.13,0.4505,0.029,3.3884
1/26/2004,0,0,0,0.161,0.0584,0.115,0.4916,0.025,3.5496
1/27/2004,0.3,0.1,1.7,0.161,0.0638,0.113,0.5217,0.022,3.6527
1/28/2004,0,0,0.1,0.158,0.0557,0.119,0.6335,0.042,4.1238
1/29/2004,0,0,0,0.15,0.0603,0.119,0.5202,0.029,3.6643
1/30/2004,1.3,2.2,0.3,0.151,0.0583,0.117,0.5084,0.026,3.5942
1/31/2004,,0,0,0.154,0.0551,0.114,0.4943,0.022,3.49
2/1/2004,0,0,,0.151,0.0471,0.112,0.4883,0.016,3.2011
2/2/2004,0,0,,0.144,0.0524,0.106,0.4807,0.014,3.314
2/3/2004,0,0,,0.139,0.0516,0.104,0.5309,0.02,3.4783
2/4/2004,0,0,,0.137,0.0573,0.086,0.5236,0.009,3.3692
2/5/2004,0,0,,0.136,0.0567,0.083,0.5375,0.013,3.4272
2/6/2004,0,0,,0.134,0.0532,0.082,0.5309,0.024,3.4337
2/7/2004,0,0,,0.127,0.0594,0.086,0.5215,0.02,3.3124
2/8/2004,0,0,,0.129,0.0531,0.088,0.4963,0.013,3.0065
2/9/2004,0,0,,0.128,0.0543,0.087,0.4974,0.011,3.2048
2/10/2004,0,0,,0.132,0.0524,0.08,0.5035,0.012,3.3194
2/11/2004,0,0,,0.14,0.0513,0.08,0.5331,0.01,3.3418
2/12/2004,0,0,,0.134,0.0565,0.079,0.5545,0.013,3.2936
2/13/2004,0,0.3,,0.125,0.0461,0.079,0.5341,0.009,3.2825
2/14/2004,0,0,,0.113,0.0467,0.08,0.5265,0.008,3.1875
2/15/2004,0,0,,0.107,0.0456,0.08,0.4975,0.014,2.9273
2/16/2004,24.8,19.9,,0.147,0.0593,0.087,0.6195,0.01,3.2692
2/17/2004,0,0,,0.494,0.2004,0.163,0.7872,0.387,10.1494
2/18/2004,0,2.3,,0.207,0.0856,0.146,0.637,0.059,4.0844
2/19/2004,11.2,4.4,,0.173,0.0555,0.13,0.7124,0.051,3.7793
2/20/2004,19.1,6.1,,0.215,0.0506,0.223,1.1861,0.961,11.2624
2/21/2004,3,1.8,,0.947,0.2287,0.211,1.508,0.554,13.2989
2/22/2004,0,0,,0.421,0.0592,0.198,1.1172,0.168,5.8309
2/23/2004,,0,,0.275,0.0506,0.197,0.9161,0.107,4.9403
2/24/2004,4.5,3.3,,0.264,0.0557,0.197,0.8485,0.085,4.7099
2/25/2004,26.3,21.6,,0.288,0.0675,0.214,1.0504,0.243,8.3996
2/26/2004,15.2,14.4,,1.417,1.1898,0.427,1.9528,1.918,21.3888
2/27/2004,,0,,1.452,0.2342,0.417,1.4303,1.011,15.1451
2/28/2004,0,0,,1.149,0.1061,0.349,1.279,0.549,9.8674
2/29/2004,3,2.7,,0.907,0.0952,0.316,1.2041,0.382,7.9785
3/1/2004,,5.6,0,0.868,0.0872,0.295,1.1474,0.313,7.1843
3/2/2004,0,0,0,0.638,0.0773,0.277,1.0927,0.261,6.6901
3/3/2004,0,0,0,0.521,0.2028,0.262,1.0402,0.222,6.2325
3/4/2004,0,0,0,0.448,0.1036,0.252,0.9858,0.21,5.9476
3/5/2004,0,0,0,0.441,0.057,0.246,0.9676,0.2,5.7675
3/6/2004,8.3,10.9,0,0.486,0.0538,0.249,0.9153,0.249,6.7418
3/7/2004,0,0,0,0.676,0.0515,0.246,0.9623,0.246,6.1081
3/8/2004,0.8,0.4,0,0.558,0.0474,0.237,0.893,0.191,5.8202
3/9/2004,0,0,0,0.457,0.0469,0.239,0.8728,0.178,5.4702
3/10/2004,,0,0.9,0.424,0.0515,0.241,0.8103,0.158,5.3653
3/11/2004,,0,0,0.394,0.033,0.238,0.7726,0.157,5.3254
3/12/2004,,0,0.1,0.379,0.0293,0.231,0.7484,0.139,5.0938
3/13/2004,1,0,0,0.365,0.0301,0.228,0.7132,0.131,4.8685
3/14/2004,0.3,0.3,0,0.347,0.0233,0.221,0.729,0.141,4.5387
3/15/2004,0,0,0.2,0.334,0.0173,0.211,0.6802,0.105,4.5562
3/16/2004,0,0,,0.319,1.5521,0.203,0.6778,0.093,4.6139
3/17/2004,0,0,,0.3,4.4362,0.195,0.6821,0.077,4.5356
3/18/2004,0,0,,0.29,,0.185,0.6756,0.072,4.3782
3/19/2004,0,0,,0.276,,0.184,0.6744,0.063,4.3051
3/20/2004,0,0,,0.272,,0.183,0.6439,0.055,4.1301
3/21/2004,0,0,,0.245,,0.179,0.6317,0.051,3.7969
3/22/2004,,0.1,,0.275,,0.182,0.7417,0.046,4.0427
3/23/2004,0,0.1,,0.262,,0.183,0.7609,0.045,4.3797
3/24/2004,0,0,,0.249,,0.18,0.6838,0.046,4.1563
3/25/2004,1.1,7.3,,0.246,,0.207,0.7752,0.1,5.2455
3/26/2004,,0,,0.254,,0.161,0.7654,0.28,5.1896
3/27/2004,16.4,13.4,,0.293,,0.172,1.0334,0.415,8.797
3/28/2004,0,0,,0.301,,0.162,0.8866,0.193,5.5861
3/29/2004,31.2,20.4,,0.294,,0.188,0.9356,0.401,7.7432
3/30/2004,9,5.2,,3.458,,0.342,3.0122,1.651,14.4238
3/31/2004,0.1,0,,4.78,,0.45,1.4939,1.112,19.745
4/1/2004,0.6,3.6,0,1.884,,0.477,1.3849,1.365,16.9167
4/2/2004,2.4,2,0,1.708,,0.46,1.3583,1.198,15.7652
4/3/2004,0,0,0,1.471,,0.446,1.3067,0.903,13.7641
4/4/2004,0,0,0,1.288,,0.404,1.2716,0.641,10.791
4/5/2004,0,0,0,1.198,,0.351,1.2261,0.511,9.2887
4/6/2004,0,0,0,1.084,,0.325,1.1876,0.418,8.354
4/7/2004,7.5,3.2,0,0.998,,0.302,1.1666,0.323,7.6343
4/8/2004,14.8,9.4,0,1.424,,0.383,1.2841,0.784,11.9035
4/9/2004,0,0,0,1.744,,0.462,1.4174,1.271,17.184
4/10/2004,0.1,0,0.1,1.462,,0.437,1.3559,0.762,12.2522
4/11/2004,0,0,0,1.342,,0.433,1.463,1.054,13.2402
4/12/2004,2.1,,0,1.227,,0.385,1.3626,1.081,12.0389
4/13/2004,0,0,0,1.151,,0.351,1.3051,0.892,10.6721
4/14/2004,17,0,,1.072,,0.351,1.7462,0.93,9.3642
4/15/2004,11.7,11.6,,1.018,,0.345,1.5507,1.41,16.9476
4/16/2004,30.5,8,0,2.234,,0.413,3.6035,2.232,21.45
4/17/2004,,0,0,2.099,,0.422,2.3464,1.812,21.4002
4/18/2004,,0,,1.57,,0.393,1.5608,1.261,15.9433
4/19/2004,0,0,,1.406,,0.366,1.4337,1.006,14.1134
4/20/2004,0,0,,1.247,,0.337,1.3684,0.797,11.5862
4/21/2004,0,0,,1.161,,0.315,1.3329,0.671,10.2111
4/22/2004,9.2,6.9,0,1.169,,0.332,1.3088,0.88,11.8709
4/23/2004,5.3,0,,1.114,,0.321,1.2856,0.708,10.8945
4/24/2004,0,0,,1.023,,0.32,1.2705,0.648,9.5811
4/25/2004,0,0,,0.858,,0.304,1.2174,0.48,7.8789
4/26/2004,0,0,,0.75,,0.29,1.2067,0.406,7.5951
4/27/2004,0,0,,0.668,,0.282,1.1844,0.356,7.42
4/28/2004,12.5,8.9,15.4,0.626,,0.281,1.1769,0.357,7.1388
4/29/2004,15.1,6.5,18.3,1.071,,0.367,1.3477,1.522,17.2726
4/30/2004,0.1,2.2,0.9,1.134,,0.321,1.3057,0.959,11.7296
5/1/2004,0,2.2,0.3,1.01,,0.312,1.2442,0.703,8.9462
5/2/2004,0.6,0,0.1,0.964,,0.302,1.2272,0.606,8.1017
5/3/2004,11.8,7,3.4,0.951,,0.296,1.2763,0.577,8.3617
5/4/2004,2,1.7,1.8,0.957,,0.288,1.1924,0.545,8.3305
5/5/2004,0.2,0,0,1.079,,0.288,1.1763,0.511,8.0175
5/6/2004,0,0,0,1.377,,0.284,1.1789,0.397,8.7525
5/7/2004,,0,0.4,1.211,,0.278,1.2003,0.365,8.0782
5/8/2004,0,0,0,1.092,,0.26,1.1787,0.331,7.5588
5/9/2004,,0,0.1,0.943,,0.26,1.1311,0.292,6.6521
5/10/2004,3.9,3.5,3.2,0.848,,0.257,1.1333,0.352,7.7564
5/11/2004,16.2,11.1,14.3,0.852,,0.286,1.2117,0.661,10.4883
5/12/2004,0.1,0.5,0,1.337,,0.325,1.2514,0.569,10.8188
5/13/2004,,0.3,0.1,1.264,,0.311,1.1827,0.413,8.6357
5/14/2004,0,,0,1.223,,0.303,1.1802,0.405,8.9654
5/15/2004,0,,0,1.094,,0.295,1.1053,0.297,7.2141
5/16/2004,0,,0,1.019,,0.285,1.0232,0.262,6.4373
5/17/2004,0,,0,0.908,,0.274,0.9951,0.243,6.3701
5/18/2004,0,0,0,0.728,,0.259,0.9414,0.222,6.2186
5/19/2004,0,0,0,0.647,,0.246,0.8763,0.195,5.9226
5/20/2004,0,0,0,0.562,,0.24,0.8172,0.167,5.7295
5/21/2004,0,0,0,0.479,,0.239,0.7938,0.163,5.5474
5/22/2004,1.8,0.3,0.8,0.442,,0.232,0.7189,0.176,5.3147
5/23/2004,0,0,0,0.448,,0.227,0.719,0.171,5.1798
5/24/2004,0,0,0,0.431,,0.225,0.6863,0.15,5.1669
5/25/2004,0,0,0,0.384,,0.219,0.6754,0.153,5.1488
5/26/2004,0,0,0,0.381,,0.214,0.7081,0.135,4.9685
5/27/2004,0,0,0,0.365,,0.207,0.6547,0.126,4.9751
5/28/2004,0,0,0,0.382,,0.198,0.629,0.132,4.7977
5/29/2004,0,0,0,0.386,,0.182,0.5762,0.107,4.5659
5/30/2004,0,0,0.6,0.387,,0.173,0.5174,0.126,4.364
5/31/2004,0,0,0,0.371,,0.172,0.6221,0.143,4.8003
6/1/2004,0,0,0,0.354,,0.165,0.6218,0.11,4.5769
6/2/2004,0,0,0,0.333,,0.161,0.6473,0.11,4.5748
6/3/2004,0,0,0,0.305,,0.159,0.595,0.098,4.4868
6/4/2004,0,0,0,0.299,,0.15,0.5098,0.096,4.3843
6/5/2004,0,0,0,0.293,,0.141,0.533,0.088,4.0511
6/6/2004,0,0,0,0.27,,0.143,0.7312,0.087,3.8868
6/7/2004,0,0,0,0.26,,0.137,0.6636,0.081,3.8993
6/8/2004,0,0,0,0.274,,0.138,0.4755,0.073,4.1262
6/9/2004,0,0,0,0.266,,0.141,0.3854,0.057,3.9511
6/10/2004,0,0,0,0.246,,0.135,0.3711,0.049,3.8853
6/11/2004,,0,0,0.24,,0.125,0.3952,0.046,3.7982
6/12/2004,0.5,0,0.6,0.27,,0.122,0.4349,0.054,3.711
6/13/2004,0.8,7.2,2,0.284,,0.132,0.8385,0.275,5.7951
6/14/2004,0.9,0.9,0.8,0.258,,0.131,0.6388,0.178,4.5838
6/15/2004,5.8,1.2,3.7,0.323,,0.14,0.5995,0.268,5.4049
6/16/2004,,0,0,0.252,,0.133,0.4927,0.161,4.206
6/17/2004,0,0,0,0.184,,0.126,0.491,0.123,4.059
6/18/2004,0,0,0,0.137,,0.112,0.4115,0.084,3.9222
6/19/2004,6.5,3.6,9.9,0.155,,0.138,0.6258,0.189,6.1378
6/20/2004,0,0,0,0.342,,0.134,0.6784,0.193,5.5482
6/21/2004,,1,0,0.17,,0.124,0.4249,0.087,4.0285
6/22/2004,0,0,0,0.158,,0.117,0.4234,0.076,3.9935
6/23/2004,0,0,0,0.13,,0.106,0.3833,0.065,3.8895
6/24/2004,0,0,0,0.117,,0.096,0.382,0.053,3.4044
6/25/2004,0,0,0,0.111,,0.085,0.3516,0.046,3.2099
6/26/2004,0,0,0,0.107,,0.07,0.3301,0.045,2.9468
6/27/2004,0,0,0,0.091,,0.071,0.2832,0.041,2.7463
6/28/2004,0,0,0,0.083,,0.066,0.2787,0.041,3.0566
6/29/2004,0,0,0,0.084,,0.057,0.3294,0.041,3.2985
6/30/2004,0,0,0,0.079,,0.05,0.3029,0.041,3.3289
7/1/2004,0,0,0,0.069,,0.044,0.3373,0.041,3.3167
7/2/2004,0,0,0,0.06,,0.026,0.3514,0.042,3.23
7/3/2004,0,0,0,0.065,,0.033,0.3447,0.043,3.0302
7/4/2004,0,0,0,0.066,,0.033,0.3097,0.038,2.7284
7/5/2004,1.7,0.5,2.8,0.064,,0.035,0.3285,0.024,3.0192
7/6/2004,0.1,,0.2,0.093,,0.05,0.3731,0.036,3.3739
7/7/2004,0,0,0,0.091,,0.058,0.3439,0.036,3.2751
7/8/2004,0,0,0,0.069,,0.056,0.3334,0.031,3.1481
7/9/2004,0,0,0,0.065,,0.049,0.2795,0.03,3.051
7/10/2004,11,9.6,18.6,0.107,,0.056,0.2871,0.027,2.9044
7/11/2004,15.7,31.9,1.3,0.316,,0.146,0.8667,0.496,9.738
7/12/2004,3.6,5.3,0.4,0.14,,0.086,0.3611,0.093,4.4275
7/13/2004,0,0,0,0.115,,0.078,0.3491,0.062,3.934
7/14/2004,0,0,0,0.1,,0.07,0.6035,0.045,3.7006
7/15/2004,0,0,0,0.086,,0.066,0.3379,0.042,3.4682
7/16/2004,0,0,0,0.073,,0.061,0.3312,0.04,3.3509
7/17/2004,0,0,0,0.066,,0.052,0.2839,0.038,3.0345
7/18/2004,0,0,0,0.06,,0.057,0.2218,0.036,2.6492
7/19/2004,0,0,0,0.055,,0.042,0.2275,0.036,2.8963
7/20/2004,0,0,0,0.053,,0.041,0.2361,0.043,3.0577
7/21/2004,0,0,,0.051,,0.042,0.3357,0.04,3.1061
7/22/2004,0,0,,0.05,,0.035,0.4456,0.037,3.2607
7/23/2004,,0,,0.047,,0.034,0.493,0.028,3.3766
7/24/2004,0,0,,0.044,,0.033,0.3042,0.03,2.9725
7/25/2004,0,0,,0.044,,0.031,0.28,0.026,2.6786
7/26/2004,0,0,0,0.044,,0.027,0.3211,0.01,2.9497
7/27/2004,0,0,0,0.044,,0.024,0.2023,0.025,3.0206
7/28/2004,,0,0,0.044,,0.023,0.2369,0.025,3.0201
7/29/2004,0,0,0,0.041,,0.026,0.3179,0.029,3.0116
7/30/2004,0,0,0,0.038,,0.024,0.2428,0.022,2.9173
7/31/2004,0,0,0,0.04,,0.021,0.2106,0.021,2.7493
8/1/2004,0,0,0,0.038,,0.02,0.3036,0.021,2.4954
8/2/2004,1,0,0,0.038,,0.015,0.288,0.009,2.5917
8/3/2004,0,0,0,0.03,,0.009,0.3016,0.006,2.6275
8/4/2004,1.6,0.4,4.4,0.045,,0.051,0.3193,0.006,3.2053
8/5/2004,0,6,2.4,0.084,,0.054,0.3057,0.131,4.114
8/6/2004,0,0,0,0.046,,0.035,0.241,0.034,2.8347
8/7/2004,0,0,0,0.04,,0.033,0.2417,0.025,2.4993
8/8/2004,0,0,0,0.034,,0.026,0.6348,0.019,2.6073
8/9/2004,0,0,0,0.03,,0.027,0.3729,0.015,2.4799
8/10/2004,0,,0,0.031,,0.021,0.5864,0.013,2.6799
8/11/2004,0,0,0,0.029,,0.017,0.3392,0.012,2.5187
8/12/2004,0,0,0,0.025,,0.017,0.2677,0.006,2.3591
8/13/2004,0,0,0,0.023,,0.014,0.2675,0.006,2.3513
8/14/2004,0,0,0,0.023,,0.016,0.2157,0.006,2.2474
8/15/2004,0,0,0,0.023,,0.012,0.2239,0.006,2.1421
8/16/2004,0,,0,0.023,,0.012,0.2382,0.006,2.1941
8/17/2004,,0,0,0.021,,0.009,0.5911,0.006,2.4955
8/18/2004,0,0,0,0.024,,0.009,0.353333333,0,2.2501
8/19/2004,0,0,0,0.02,,0.007,0.3008,0.006,2.3861
8/20/2004,,0,0,0.018,,0.006,0.3012,0.006,2.2816
8/21/2004,0,3.7,0,0.018,,0.008,0.8631,0.006,2.5001
8/22/2004,0,0,0,0.018,,0.007,0.7421,0.006,2.9456
8/23/2004,,0,0.1,0.018,,0.014,0.3505,0.006,2.4273
8/24/2004,0,0,0,0.024,,0.011,0.3363,0.006,2.4999
8/25/2004,,0,0,0.023,,0.01,0.3211,0.006,2.5502
8/26/2004,0,0,0,0.022,,0.016,0.3031,0.006,2.4954
8/27/2004,0,0,0,0.021,,0.014,0.271,0.006,2.4896
8/28/2004,0,0,0,0.023,,0.015,0.2763,0.006,2.3032
8/29/2004,8.8,4.4,33.5,0.132,,0.053,0.3947,0.006,4.2335
8/30/2004,0.6,0.3,0.5,0.256,,0.036,0.4701,0.172,5.2474
8/31/2004,0,0,0,0.073,,0.018,0.3582,0.026,3.2628
9/1/2004,7.1,5.3,,0.061,,0.018,0.3501,0.018,3.147
9/2/2004,16,12,1.8,0.083,,0.037,0.8387,0.194,7.589
9/3/2004,12.3,4,1.2,0.425,,0.191,1.0832,0.805,8.7078
9/4/2004,,0,2,0.186,,0.109,0.5707,0.082,2.3504
9/5/2004,,0,2.1,0.091,,0.095,0.433,0.037,1.5347
9/6/2004,7.8,,5.5,0.068,,0.078,0.4349,0.035,1.9205
9/7/2004,0,0,4.7,0.057,,0.07,0.3799,0.042,2.7196
9/8/2004,0,0,0,0.051,,0.053,0.3564,0.035,2.4909
9/9/2004,0,0,0,0.045,,0.048,0.4136,0.033,2.4805
9/10/2004,0.1,0,0.5,0.044,,0.045,0.6072,0.031,2.692
9/11/2004,3.4,3.4,3.3,0.042,,0.043,0.3777,0.034,2.5941
9/12/2004,0,0,2.7,0.036,,0.045,0.41,0.058,2.9941
9/13/2004,15.1,6,0.4,0.035,,0.047,0.3443,0.035,2.3563
9/14/2004,0,0,0.2,0.518,,0.248,0.8225,0.411,6.7053
9/15/2004,7.1,0.3,1.5,0.344,,0.124,0.6082,0.068,3.6044
9/16/2004,0,0,0.2,0.152,,0.1,0.699,0.045,4.6112
9/17/2004,0,0,0,0.104,,0.087,0.5621,0.04,3.2989
9/18/2004,0,0,,0.091,,0.089,0.8426,0.039,3.3435
9/19/2004,0,0,,0.079,,0.076,0.3755,0.037,2.8567
9/20/2004,0,0.1,0,0.072,,0.074,0.3462,0.036,3.0988
9/21/2004,0,0,0,0.072,,0.073,0.7052,0.036,3.3488
9/22/2004,0,0,0,0.071,,0.07,0.5743,0.035,3.7162
9/23/2004,0,0,0,0.07,,0.064,0.3334,0.035,3.2371
9/24/2004,2.2,1.3,0,0.065,,0.059,0.3053,0.035,3.1585
9/25/2004,0,0,0,0.061,,0.053,0.3012,0.034,2.9728
9/26/2004,0,0,0,0.052,,0.051,0.3041,0.035,2.7233
9/27/2004,0,0,0,0.048,,0.051,0.2688,0.034,2.7401
9/28/2004,0,0,0,0.046,,0.056,0.2872,0.034,2.8069
9/29/2004,0,0,0,0.048,,0.062,0.2797,0.033,2.8652
9/30/2004,0,0,0,0.048,,0.053,0.3068,0.078,2.867
10/1/2004,0,0,0,0.048,,0.037,0.3119,0.038,2.8851
10/2/2004,0,0,0,0.046,,0.031,0.3153,0.031,2.8426
10/3/2004,0,0,0,0.044,,0.035,0.6114,0.027,2.7663
10/4/2004,0,,0,0.042,,0.042,0.3435,0.029,2.7717
10/5/2004,0,3.6,0,0.039,,0.046,0.3493,0.028,2.8919
10/6/2004,,0,0,0.041,,0.047,0.3233,0.03,2.952
10/7/2004,0,0,0,0.042,,0.047,,0.032,2.9026
10/8/2004,0,0,0,0.044,,0.046,0.3193,0.033,2.9242
10/9/2004,0,0,0,0.044,,0.046,0.3065,0.033,2.6937
10/10/2004,0,0,0,0.039,,0.035,0.3233,0.035,2.375
10/11/2004,0,0,0,0.036,,0.036,0.3042,0.034,2.4353
10/12/2004,0.1,1.6,0.3,0.04,,0.042,0.3496,0.064,3.6362
10/13/2004,0,0,0,0.044,,0.041,0.3466,0.06,2.9326
10/14/2004,0,0,0,0.044,,0.046,0.3448,0.042,2.9193
10/15/2004,0,0,0.1,0.041,,0.048,0.3386,0.032,2.9102
10/16/2004,0,0,0,0.038,,0.049,0.3185,0.022,2.7236
10/17/2004,0,0,0,0.038,,0.05,0.3051,0.023,2.4303
10/18/2004,,2.4,0,0.038,,0.044,0.3057,0.025,2.618
10/19/2004,0,0,0,0.038,,0.043,0.3265,0.02,2.752
10/20/2004,0,0,0,0.038,,0.033,0.3216,0.018,2.8393
10/21/2004,0.1,0.1,0.1,0.034,,0.035,0.312,0.018,2.7764
10/22/2004,0,0,0,0.032,,0.036,0.3146,0.018,2.7719
10/23/2004,0,0,0,0.03,,0.035,0.3059,0.019,2.6397
10/24/2004,0,0,0,0.03,,0.034,0.3121,0.018,2.4573
10/25/2004,2.6,5.7,1.2,0.031,,0.037,0.3123,0.019,2.649
10/26/2004,3,2.1,1.1,0.195,,0.122,0.6821,0.19,7.3373
10/27/2004,3.8,3.8,0.5,0.092,,0.085,0.3693,0.07,4.0796
10/28/2004,0,0,0.3,0.094,,0.085,0.3639,0.059,4.3714
10/29/2004,0,0,0.2,0.069,,0.076,0.3666,0.035,3.273
10/30/2004,8.6,11.4,9.2,0.056,,0.071,0.3442,0.028,3.115
10/31/2004,9.7,12.1,3.9,0.12,,0.089,0.3676,0.106,5.6212
11/1/2004,6.4,10.9,1.7,0.092,,0.1,0.3838,0.144,5.3775
11/2/2004,0,0,0,0.074,,0.093,0.3574,0.044,3.3117
11/3/2004,0,0,0,0.067,,0.086,0.3441,0.037,3.2747
11/4/2004,0.3,0.7,0.3,0.066,,0.084,0.3311,0.035,3.2004
11/5/2004,0.3,0.3,0.5,0.059,,0.084,0.3295,0.034,3.2253
11/6/2004,0,0,0.1,0.057,,0.083,0.3154,0.034,2.9587
11/7/2004,0,0,0,0.054,,0.081,0.2892,0.033,2.644
11/8/2004,0,0,0,0.049,,0.078,0.3126,0.029,2.8153
11/9/2004,0,0,0,0.052,,0.077,0.3146,0.03,2.9925
11/10/2004,0,0,0,0.053,,0.081,0.3553,0.029,3.052
11/11/2004,0,0,0,0.054,,0.084,0.336,0.029,3.0629
11/12/2004,0,0,0,0.053,,0.083,0.3336,0.028,3.0706
11/13/2004,0,0,0,0.048,,0.08,0.3236,0.027,2.8845
11/14/2004,0,0,0,0.05,,0.078,0.3163,0.027,2.642
11/15/2004,0,0,0,0.047,,0.075,0.3025,0.027,2.7168
11/16/2004,0,0,0,0.049,,0.077,0.3263,0.033,2.929
11/17/2004,0,0,0,0.055,,0.078,0.3327,0.027,3.0451
11/18/2004,0,0,0,0.056,,0.079,0.3306,0.028,3.0662
11/19/2004,0,0,0,0.06,,0.08,0.3118,0.028,3.0913
11/20/2004,,0,0,0.058,,0.08,0.3019,0.028,2.9678
11/21/2004,0,0,0,0.055,,0.078,0.2715,0.026,2.7152
11/22/2004,0,0,0,0.049,,0.075,0.3368,0.026,2.8593
11/23/2004,0,0,0,0.05,,0.071,0.3274,0.027,2.9163
11/24/2004,0,0,0,0.054,,0.075,0.3232,0.028,2.9327
11/25/2004,0,0,0,0.054,,0.075,0.3217,0.027,2.9088
11/26/2004,0,15,0,0.052,,0.075,0.3353,0.027,2.9698
11/27/2004,0,0,0,0.053,,0.073,0.3431,0.029,2.8073
11/28/2004,2.8,0,3.3,0.054,,0.069,0.3116,0.03,2.5782
11/29/2004,0,0.9,0,0.068,,0.076,0.4123,0.043,3.5868
11/30/2004,0,0,0,0.072,,0.073,0.3654,0.041,3.0643
12/1/2004,10.9,3.8,10.8,0.069,,0.099,0.4551,0.062,4.0959
12/2/2004,0,0,0,0.266,,0.129,0.7027,0.205,7.2182
12/3/2004,2.5,3.9,0.9,0.095,,0.088,0.3642,0.048,3.7136
12/4/2004,6.7,6.4,8.7,0.091,,0.115,1.0032,0.17,6.1251
12/5/2004,0,0,0.1,0.171,,0.116,0.7088,0.214,6.9671
12/6/2004,1.2,1.9,5,0.097,,0.108,0.4898,0.057,3.1491
12/7/2004,1.3,1,0.4,0.22,,0.119,0.3992,0.118,4.396
12/8/2004,20.3,9.9,17.2,0.248,,0.167,0.5158,0.17,5.8291
12/9/2004,0.6,0.1,0.4,0.775,,0.183,0.6595,0.247,7.6004
